"region","region_survey","GFE_ID"
"Haida Gwaii","Haida Gwaii",1553
"Haida Gwaii","Haida Gwaii",1554
"Haida Gwaii","Haida Gwaii",1555
"Haida Gwaii","Haida Gwaii",1557
"Haida Gwaii","Haida Gwaii",1558
"Haida Gwaii","Haida Gwaii",1559
"Haida Gwaii","Haida Gwaii",1560
"Haida Gwaii","Haida Gwaii",1563
"Haida Gwaii","Haida Gwaii",1565
"Haida Gwaii","Haida Gwaii",1566
"Haida Gwaii","Haida Gwaii",1567
"Haida Gwaii","Haida Gwaii",1568
"Haida Gwaii","Haida Gwaii",1570
"Haida Gwaii","Haida Gwaii",1571
"Haida Gwaii","Haida Gwaii",1575
"Haida Gwaii","Haida Gwaii",1577
"Haida Gwaii","Haida Gwaii",1578
"Haida Gwaii","Haida Gwaii",1579
"Haida Gwaii","Haida Gwaii",1581
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1457
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1332
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1333
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1335
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1336
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1338
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1339
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1340
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1341
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1342
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1343
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1344
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1345
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1347
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1348
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1349
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1350
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1351
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1352
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1353
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1354
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1355
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1356
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1357
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1358
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1361
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1362
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1363
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1364
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1365
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1366
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1367
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1369
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1370
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1371
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1372
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1373
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1374
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1375
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1376
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1377
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1378
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1379
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1380
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1381
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1382
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1384
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1385
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1386
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1387
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1388
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1389
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1390
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1391
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1392
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1393
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1394
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1395
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1396
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1397
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1398
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1399
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1400
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1401
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1402
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1403
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1404
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1405
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1406
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1407
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1408
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1409
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1410
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1411
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1412
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1413
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1414
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1415
"Haida Gwaii","Haida Gwaii",1539
"Haida Gwaii","Haida Gwaii",1540
"Haida Gwaii","Haida Gwaii",1543
"Haida Gwaii","Haida Gwaii",1544
"Haida Gwaii","Haida Gwaii",1545
"Haida Gwaii","Haida Gwaii",1546
"Haida Gwaii","Haida Gwaii",1677
"Haida Gwaii","Haida Gwaii",1678
"Haida Gwaii","Haida Gwaii",1679
"Haida Gwaii","Haida Gwaii",1680
"Haida Gwaii","Haida Gwaii",1681
"Haida Gwaii","Haida Gwaii",1683
"Haida Gwaii","Haida Gwaii",1684
"Haida Gwaii","Haida Gwaii",1685
"Haida Gwaii","Haida Gwaii",1686
"Haida Gwaii","Haida Gwaii",1687
"Haida Gwaii","Haida Gwaii",1688
"Haida Gwaii","Haida Gwaii",1690
"Haida Gwaii","Haida Gwaii",1692
"Haida Gwaii","Haida Gwaii",1693
"Haida Gwaii","Haida Gwaii",1694
"Haida Gwaii","Haida Gwaii",1695
"Haida Gwaii","Haida Gwaii",1697
"Haida Gwaii","Haida Gwaii",1699
"Haida Gwaii","Haida Gwaii",1700
"Haida Gwaii","Haida Gwaii",1701
"Haida Gwaii","Haida Gwaii",1703
"Haida Gwaii","Haida Gwaii",1704
"Haida Gwaii","Haida Gwaii",1705
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1458
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1459
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1460
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1461
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1462
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1463
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1464
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1465
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1466
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1467
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1468
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1469
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1470
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1471
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1473
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1474
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1475
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1476
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1477
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1478
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1479
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1480
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1481
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1482
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1483
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1484
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1485
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1486
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1487
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1489
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1491
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1492
"Haida Gwaii","Haida Gwaii",1497
"Haida Gwaii","Haida Gwaii",1502
"Haida Gwaii","Haida Gwaii",1504
"Haida Gwaii","Haida Gwaii",1505
"Haida Gwaii","Haida Gwaii",1507
"Haida Gwaii","Haida Gwaii",1508
"Haida Gwaii","Haida Gwaii",1509
"Haida Gwaii","Haida Gwaii",1511
"Haida Gwaii","Haida Gwaii",1512
"Haida Gwaii","Haida Gwaii",1513
"Haida Gwaii","Haida Gwaii",1514
"Haida Gwaii","Haida Gwaii",1515
"Haida Gwaii","Haida Gwaii",1516
"Haida Gwaii","Haida Gwaii",1517
"Haida Gwaii","Haida Gwaii",1518
"Haida Gwaii","Haida Gwaii",1519
"Haida Gwaii","Haida Gwaii",1520
"Haida Gwaii","Haida Gwaii",1521
"Haida Gwaii","Haida Gwaii",1522
"Haida Gwaii","Haida Gwaii",1523
"Haida Gwaii","Haida Gwaii",1524
"Haida Gwaii","Haida Gwaii",1525
"Haida Gwaii","Haida Gwaii",1526
"Haida Gwaii","Haida Gwaii",1527
"Haida Gwaii","Haida Gwaii",1529
"Haida Gwaii","Haida Gwaii",1530
"Haida Gwaii","Haida Gwaii",1531
"Haida Gwaii","Haida Gwaii",1533
"Haida Gwaii","Haida Gwaii",1534
"Haida Gwaii","Haida Gwaii",1535
"Haida Gwaii","Haida Gwaii",1536
"Haida Gwaii","Haida Gwaii",1537
"Haida Gwaii","Haida Gwaii",1538
"Haida Gwaii","Haida Gwaii",1668
"Haida Gwaii","Haida Gwaii",1669
"Haida Gwaii","Haida Gwaii",1670
"Haida Gwaii","Haida Gwaii",1671
"Haida Gwaii","Haida Gwaii",1672
"Haida Gwaii","Haida Gwaii",1673
"Central Coast","Central Coast",1820
"Central Coast","Central Coast",1821
"Central Coast","Central Coast",1822
"Central Coast","Central Coast",1823
"Central Coast","Central Coast",1824
"Central Coast","Central Coast",1825
"Central Coast","Central Coast",1826
"Central Coast","Central Coast",1827
"Central Coast","Central Coast",1828
"Central Coast","Central Coast",1829
"Central Coast","Central Coast",1830
"Central Coast","Central Coast",1831
"Central Coast","Central Coast",1832
"Central Coast","Central Coast",1833
"Central Coast","Central Coast",1834
"Central Coast","Central Coast",1835
"Central Coast","Central Coast",1836
"Central Coast","Central Coast",1837
"Central Coast","Central Coast",1838
"Central Coast","Central Coast",1839
"Haida Gwaii","Haida Gwaii",1706
"Haida Gwaii","Haida Gwaii",1583
"Haida Gwaii","Haida Gwaii",1584
"Haida Gwaii","Haida Gwaii",1585
"Haida Gwaii","Haida Gwaii",1586
"Haida Gwaii","Haida Gwaii",1587
"Haida Gwaii","Haida Gwaii",1588
"Haida Gwaii","Haida Gwaii",1589
"Haida Gwaii","Haida Gwaii",1590
"Haida Gwaii","Haida Gwaii",1591
"Haida Gwaii","Haida Gwaii",1592
"Haida Gwaii","Haida Gwaii",1593
"Haida Gwaii","Haida Gwaii",1594
"Haida Gwaii","Haida Gwaii",1595
"Haida Gwaii","Haida Gwaii",1596
"Haida Gwaii","Haida Gwaii",1597
"Haida Gwaii","Haida Gwaii",1598
"Haida Gwaii","Haida Gwaii",1599
"Haida Gwaii","Haida Gwaii",1600
"Haida Gwaii","Haida Gwaii",1601
"Haida Gwaii","Haida Gwaii",1602
"Haida Gwaii","Haida Gwaii",1603
"Haida Gwaii","Haida Gwaii",1604
"Haida Gwaii","Haida Gwaii",1605
"Haida Gwaii","Haida Gwaii",1606
"Haida Gwaii","Haida Gwaii",1607
"Haida Gwaii","Haida Gwaii",1609
"Haida Gwaii","Haida Gwaii",1610
"Haida Gwaii","Haida Gwaii",1611
"Haida Gwaii","Haida Gwaii",1612
"Haida Gwaii","Haida Gwaii",1613
"Haida Gwaii","Haida Gwaii",1614
"Haida Gwaii","Haida Gwaii",1615
"Haida Gwaii","Haida Gwaii",1616
"Haida Gwaii","Haida Gwaii",1617
"Haida Gwaii","Haida Gwaii",1618
"Haida Gwaii","Haida Gwaii",1619
"Haida Gwaii","Haida Gwaii",1620
"Haida Gwaii","Haida Gwaii",1621
"Haida Gwaii","Haida Gwaii",1622
"Haida Gwaii","Haida Gwaii",1623
"Haida Gwaii","Haida Gwaii",1624
"Haida Gwaii","Haida Gwaii",1625
"Haida Gwaii","Haida Gwaii",1626
"Haida Gwaii","Haida Gwaii",1627
"Haida Gwaii","Haida Gwaii",1628
"Haida Gwaii","Haida Gwaii",1629
"Haida Gwaii","Haida Gwaii",1630
"Haida Gwaii","Haida Gwaii",1631
"Haida Gwaii","Haida Gwaii",1632
"Haida Gwaii","Haida Gwaii",1633
"Haida Gwaii","Haida Gwaii",1634
"Haida Gwaii","Haida Gwaii",1635
"Haida Gwaii","Haida Gwaii",1636
"Haida Gwaii","Haida Gwaii",1637
"Haida Gwaii","Haida Gwaii",1638
"Haida Gwaii","Haida Gwaii",1639
"Haida Gwaii","Haida Gwaii",1640
"Haida Gwaii","Haida Gwaii",1641
"Haida Gwaii","Haida Gwaii",1642
"Haida Gwaii","Haida Gwaii",1643
"Haida Gwaii","Haida Gwaii",1644
"Haida Gwaii","Haida Gwaii",1645
"Haida Gwaii","Haida Gwaii",1646
"Haida Gwaii","Haida Gwaii",1647
"Haida Gwaii","Haida Gwaii",1648
"Haida Gwaii","Haida Gwaii",1649
"Haida Gwaii","Haida Gwaii",1650
"Haida Gwaii","Haida Gwaii",1651
"Haida Gwaii","Haida Gwaii",1652
